C,Bb,Eb,F,G
CMaj13(#11)(9),BbMaj13(#11)(9),EbMaj13(#11)(9),FMaj13(#11)(9),GMaj13(#11)(9)
CMaj7(#11),BbMaj7(#11),EbMaj7(#11),FMaj7(#11),GMaj7(#11)
CMaj9(#11),BbMaj9(#11),EbMaj9(#11),FMaj9(#11),GMaj9(#11)
D,C,F,G,A
D(add2),C(add2),F(add2),G(add2),A(add2)
D(add4),C(add4),F(add4),G(add4),A(add4)
D13,C13,F13,G13,A13
D13(9),C13(9),F13(9),G13(9),A13(9)
D7,C7,F7,G7,A7
D9,C9,F9,G9,A9
F+,Eb+,Ab+,Bb+,C+
F+(add2),Eb+(add2),Ab+(add2),Bb+(add2),C+(add2)
Gdim/Db,Fdim/Cb,Bbdim/Fb,Cdim/Gb,Ddim/Ab
A-13(11),G-13(11),C-13(11),D-13(11),E-13(11)
A-13(11)(9),G-13(11)(9),C-13(11)(9),D-13(11)(9),E-13(11)(9)
A-6,G-6,C-6,D-6,E-6
D(add2)/F#,C(add2)/E,F(add2)/A,G(add2)/B,A(add2)/C#
D/F#,C/E,F/A,G/B,A/C#
D7/F#,C7/E,F7/A,G7/B,A7/C#
E-,D-,G-,A-,B-
E-(add2),D-(add2),G-(add2),A-(add2),B-(add2)
E-(add4),D-(add4),G-(add4),A-(add4),B-(add4)
E-(addb6),D-(addb6),G-(addb6),A-(addb6),B-(addb6)
E-(b6)(9),D-(b6)(9),G-(b6)(9),A-(b6)(9),B-(b6)(9)
E-11,D-11,G-11,A-11,B-11
E-11(9),D-11(9),G-11(9),A-11(9),B-11(9)
E-7,D-7,G-7,A-7,B-7
E-7(addb6),D-7(addb6),G-7(addb6),A-7(addb6),B-7(addb6)
E-9,D-9,G-9,A-9,B-9
E-9(addb6),D-9(addb6),G-9(addb6),A-9(addb6),B-9(addb6)
F#dim,Edim,Adim,Bdim,C#dim
B,A,D,E,F#
B(addb6),A(addb6),D(addb6),E(addb6),F#(addb6)
B+,A+,D+,E+,F#+
B7,A7,D7,E7,F#7
B7(b13),A7(b13),D7(b13),E7(b13),F#7(b13)
D(add2)/A,C(add2)/G,F(add2)/C,G(add2)/D,A(add2)/E
D/A,C/G,F/C,G/D,A/E
D13sus,C13sus,F13sus,G13sus,A13sus
D13sus(9),C13sus(9),F13sus(9),G13sus(9),A13sus(9)
D13sus(9)(add3),C13sus(9)(add3),F13sus(9)(add3),G13sus(9)(add3),A13sus(9)(add3)
D13sus(add3),C13sus(add3),F13sus(add3),G13sus(add3),A13sus(add3)
D7/A,C7/G,F7/C,G7/D,A7/E
D7sus,C7sus,F7sus,G7sus,A7sus
D7sus(add3),C7sus(add3),F7sus(add3),G7sus(add3),A7sus(add3)
D9sus,C9sus,F9sus,G9sus,A9sus
DbMaj7(#5),CbMaj7(#5),FbMaj7(#5),GbMaj7(#5),AbMaj7(#5)
Dsus4,Csus4,Fsus4,Gsus4,Asus4
Dsus4(add2),Csus4(add2),Fsus4(add2),Gsus4(add2),Asus4(add2)
E-(add2)/G,D-(add2)/F,G-(add2)/Bb,A-(add2)/C,B-(add2)/D
E-/G,D-/F,G-/Bb,A-/C,B-/D
F#dim/A,Edim/G,Adim/C,Bdim/D,C#dim/E
B/D#,A/C#,D/F#,E/G#,F#/A#
B7/D#,A7/C#,D7/F#,E7/G#,F#7/A#
CMaj7(#11)(#9),BbMaj7(#11)(#9),EbMaj7(#11)(#9),FMaj7(#11)(#9),GMaj7(#11)(#9)
D/C,C/Bb,F/Eb,G/F,A/G
D#dim,C#dim,F#dim,G#dim,A#dim
D#dim7,C#dim7,F#dim7,G#dim7,A#dim7
D#dim7(b13),C#dim7(b13),F#dim7(b13),G#dim7(b13),A#dim7(b13)
D7/C,C7/Bb,F7/Eb,G7/F,A7/G
E-(add2)/B,D-(add2)/A,G-(add2)/D,A-(add2)/E,B-(add2)/F#
E-/B,D-/A,G-/D,A-/E,B-/F#
F#dim/C,Edim/Bb,Adim/Eb,Bdim/F,C#dim/G
B/F#,A/E,D/A,E/B,F#/C#
B7(#9),A7(#9),D7(#9),E7(#9),F#7(#9)
B7(b9),A7(b9),D7(b9),E7(b9),F#7(b9)
B7/F#,A7/E,D7/A,E7/B,F#7/C#
B7sus,A7sus,D7sus,E7sus,F#7sus
B7sus(b9),A7sus(b9),D7sus(b9),E7sus(b9),F#7sus(b9)
Bsus4,Asus4,Dsus4,Esus4,F#sus4
Bsus4(addb2),Asus4(addb2),Dsus4(addb2),Esus4(addb2),F#sus4(addb2)
D#dim/F#,C#dim/E,F#dim/A,G#dim/B,A#dim/C#
D13(b9),C13(b9),F13(b9),G13(b9),A13(b9)
D7(b9),C7(b9),F7(b9),G7(b9),A7(b9)
B/A,A/G,D/C,E/D,F#/E
B7/A,A7/G,D7/C,E7/D,F#7/E
D#dim/A,C#dim/G,F#dim/C,G#dim/D,A#dim/E
EbdimMaj7,DbdimMaj7,GbdimMaj7,AbdimMaj7,BbdimMaj7
F#dim11,Edim11,Adim11,Bdim11,C#dim11
F#dim7,Edim7,Adim7,Bdim7,C#dim7
F#dim7(b13),Edim7(b13),Adim7(b13),Bdim7(b13),C#dim7(b13)
A-11(9)(b5),G-11(9)(b5),C-11(9)(b5),D-11(9)(b5),E-11(9)(b5)
A-13(9)(b5),G-13(9)(b5),C-13(9)(b5),D-13(9)(b5),E-13(9)(b5)
A-9(b5),G-9(b5),C-9(b5),D-9(b5),E-9(b5)
Adim,Gdim,Cdim,Ddim,Edim
Adim11,Gdim11,Cdim11,Ddim11,Edim11
Adim7,Gdim7,Cdim7,Ddim7,Edim7
Adim9,Gdim9,Cdim9,Ddim9,Edim9
Cdim,Bbdim,Ebdim,Fdim,Gdim
Cdim7,Bbdim7,Ebdim7,Fdim7,Gdim7
Cdim9,Bbdim9,Ebdim9,Fdim9,Gdim9
CdimMaj7,BbdimMaj7,EbdimMaj7,FdimMaj7,GdimMaj7
D13sus(b9)(add3),C13sus(b9)(add3),F13sus(b9)(add3),G13sus(b9)(add3),A13sus(b9)(add3)
Adim/C,Gdim/Bb,Cdim/Eb,Ddim/F,Edim/G
B7(#9)(#5),A7(#9)(#5),D7(#9)(#5),E7(#9)(#5),F#7(#9)(#5)
B7(#9)(b5),A7(#9)(b5),D7(#9)(b5),E7(#9)(b5),F#7(#9)(b5)
B7(b13)(b9),A7(b13)(b9),D7(b13)(b9),E7(b13)(b9),F#7(b13)(b9)
B7(b9)(b5),A7(b9)(b5),D7(b9)(b5),E7(b9)(b5),F#7(b9)(b5)
Cdim/Eb,Bbdim/Db,Ebdim/Gb,Fdim/Ab,Gdim/Bb
F13(#11)(9)(omit3),Eb13(#11)(9)(omit3),Ab13(#11)(9)(omit3),Bb13(#11)(9)(omit3),C13(#11)(9)(omit3)
F9(#11)(omit3),Eb9(#11)(omit3),Ab9(#11)(omit3),Bb9(#11)(omit3),C9(#11)(omit3)
Adim/Eb,Gdim/Db,Cdim/Gb,Ddim/Ab,Edim/Bb
Cdim/F#,Bbdim/E,Ebdim/A,Fdim/B,Gdim/C#
Eb,Db,Gb,Ab,Bb
Eb(add2),Db(add2),Gb(add2),Ab(add2),Bb(add2)
EbMaj13(#11)(9),DbMaj13(#11)(9),GbMaj13(#11)(9),AbMaj13(#11)(9),BbMaj13(#11)(9)
EbMaj7,DbMaj7,GbMaj7,AbMaj7,BbMaj7
EbMaj7(#11),DbMaj7(#11),GbMaj7(#11),AbMaj7(#11),BbMaj7(#11)
EbMaj9,DbMaj9,GbMaj9,AbMaj9,BbMaj9
EbMaj9(#11),DbMaj9(#11),GbMaj9(#11),AbMaj9(#11),BbMaj9(#11)
F7,Eb7,Ab7,Bb7,C7
F9,Eb9,Ab9,Bb9,C9
A-11(b5),G-11(b5),C-11(b5),D-11(b5),E-11(b5)
Ahdim7,Ghdim7,Chdim7,Dhdim7,Ehdim7
C-,Bb-,Eb-,F-,G-
C-(add2),Bb-(add2),Eb-(add2),F-(add2),G-(add2)
C-(add4),Bb-(add4),Eb-(add4),F-(add4),G-(add4)
C-11,Bb-11,Eb-11,F-11,G-11
C-13(11),Bb-13(11),Eb-13(11),F-13(11),G-13(11)
C-13(11)(9),Bb-13(11)(9),Eb-13(11)(9),F-13(11)(9),G-13(11)(9)
C-6,Bb-6,Eb-6,F-6,G-6
C-6(9),Bb-6(9),Eb-6(9),F-6(9),G-6(9)
C-7,Bb-7,Eb-7,F-7,G-7
C-9,Bb-9,Eb-9,F-9,G-9
Eb(add2)/G,Db(add2)/F,Gb(add2)/Bb,Ab(add2)/C,Bb(add2)/D
Eb/G,Db/F,Gb/Bb,Ab/C,Bb/D
C-(add2)/Eb,Bb-(add2)/Db,Eb-(add2)/Gb,F-(add2)/Ab,G-(add2)/Bb
C-/Eb,Bb-/Db,Eb-/Gb,F-/Ab,G-/Bb
Eb(add2)/Bb,Db(add2)/Ab,Gb(add2)/Db,Ab(add2)/Eb,Bb(add2)/F
Eb/Bb,Db/Ab,Gb/Db,Ab/Eb,Bb/F
Eb/F,Db/Eb,Gb/Ab,Ab/Bb,Bb/C
F13sus,Eb13sus,Ab13sus,Bb13sus,C13sus
F13sus(9),Eb13sus(9),Ab13sus(9),Bb13sus(9),C13sus(9)
F7sus,Eb7sus,Ab7sus,Bb7sus,C7sus
F7sus(add3),Eb7sus(add3),Ab7sus(add3),Bb7sus(add3),C7sus(add3)
F9sus,Eb9sus,Ab9sus,Bb9sus,C9sus
Fsus4,Ebsus4,Absus4,Bbsus4,Csus4
Fsus4(add2),Ebsus4(add2),Absus4(add2),Bbsus4(add2),Csus4(add2)
F(add4),Eb(add4),Ab(add4),Bb(add4),C(add4)
C-(add2)/G,Bb-(add2)/F,Eb-(add2)/Bb,F-(add2)/C,G-(add2)/D
C-/G,Bb-/F,Eb-/Bb,F-/C,G-/D
EbMaj7(#11)(#9),DbMaj7(#11)(#9),GbMaj7(#11)(#9),AbMaj7(#11)(#9),BbMaj7(#11)(#9)
D7(#9),C7(#9),F7(#9),G7(#9),A7(#9)
Eb-,Db-,Gb-,Ab-,Bb-
Eb-(add2),Db-(add2),Gb-(add2),Ab-(add2),Bb-(add2)
Eb-6,Db-6,Gb-6,Ab-6,Bb-6
Eb-6(9),Db-6(9),Gb-6(9),Ab-6(9),Bb-6(9)
Eb-Maj7,Db-Maj7,Gb-Maj7,Ab-Maj7,Bb-Maj7
Eb-Maj9,Db-Maj9,Gb-Maj9,Ab-Maj9,Bb-Maj9
Ab13(#11)(9)(omit3),Gb13(#11)(9)(omit3),Cb13(#11)(9)(omit3),Db13(#11)(9)(omit3),Eb13(#11)(9)(omit3)
Ab7,Gb7,Cb7,Db7,Eb7
Ab9,Gb9,Cb9,Db9,Eb9
Ab9(#11)(omit3),Gb9(#11)(omit3),Cb9(#11)(omit3),Db9(#11)(omit3),Eb9(#11)(omit3)
D7(#5),C7(#5),F7(#5),G7(#5),A7(#5)
D7(#9)(#5),C7(#9)(#5),F7(#9)(#5),G7(#9)(#5),A7(#9)(#5)
D7(#9)(b5),C7(#9)(b5),F7(#9)(b5),G7(#9)(b5),A7(#9)(b5)
D7(b13)(b9),C7(b13)(b9),F7(b13)(b9),G7(b13)(b9),A7(b13)(b9)
D7(b9)(b5),C7(b9)(b5),F7(b9)(b5),G7(b9)(b5),A7(b9)(b5)
Eb-(add2)/Gb,Db-(add2)/Fb,Gb-(add2)/A,Ab-(add2)/Cb,Bb-(add2)/Db
Eb-/Gb,Db-/Fb,Gb-/A,Ab-/Cb,Bb-/Db
D+,C+,F+,G+,A+
Eb-(add2)/Bb,Db-(add2)/Ab,Gb-(add2)/Db,Ab-(add2)/Eb,Bb-(add2)/F
Eb-/Bb,Db-/Ab,Gb-/Db,Ab-/Eb,Bb-/F
F#,E,A,B,C#
F#(addb6),E(addb6),A(addb6),B(addb6),C#(addb6)
F#7,E7,A7,B7,C#7
F#7(b9),E7(b9),A7(b9),B7(b9),C#7(b9)
F#/A#,E/G#,A/C#,B/D#,C#/E#
F#7/A#,E7/G#,A7/C#,B7/D#,C#7/E#
F#/C#,E/B,A/E,B/F#,C#/G#
F#7(#9),E7(#9),A7(#9),B7(#9),C#7(#9)
F#7/C#,E7/B,A7/E,B7/F#,C#7/G#
F#7sus,E7sus,A7sus,B7sus,C#7sus
F#7sus(b9),E7sus(b9),A7sus(b9),B7sus(b9),C#7sus(b9)
F#sus4,Esus4,Asus4,Bsus4,C#sus4
F#sus4(addb2),Esus4(addb2),Asus4(addb2),Bsus4(addb2),C#sus4(addb2)
F#/E,E/D,A/G,B/A,C#/B
E-11(9)(b5),D-11(9)(b5),G-11(9)(b5),A-11(9)(b5),B-11(9)(b5)
E-9(b5),D-9(b5),G-9(b5),A-9(b5),B-9(b5)
F#7(#5),E7(#5),A7(#5),B7(#5),C#7(#5)
F#7(#9)(#5),E7(#9)(#5),A7(#9)(#5),B7(#9)(#5),C#7(#9)(#5)
F#7(#9)(b5),E7(#9)(b5),A7(#9)(b5),B7(#9)(b5),C#7(#9)(b5)
F#7(b13)(b9),E7(b13)(b9),A7(b13)(b9),B7(b13)(b9),C#7(b13)(b9)
F#7(b9)(b5),E7(b9)(b5),A7(b9)(b5),B7(b9)(b5),C#7(b9)(b5)
Db,Cb,Fb,Gb,Ab
Db(add2),Cb(add2),Fb(add2),Gb(add2),Ab(add2)
DbMaj13(#11)(9),CbMaj13(#11)(9),FbMaj13(#11)(9),GbMaj13(#11)(9),AbMaj13(#11)(9)
DbMaj7,CbMaj7,FbMaj7,GbMaj7,AbMaj7
DbMaj7(#11),CbMaj7(#11),FbMaj7(#11),GbMaj7(#11),AbMaj7(#11)
DbMaj9,CbMaj9,FbMaj9,GbMaj9,AbMaj9
DbMaj9(#11),CbMaj9(#11),FbMaj9(#11),GbMaj9(#11),AbMaj9(#11)
Eb13,Db13,Gb13,Ab13,Bb13
Eb13(9),Db13(9),Gb13(9),Ab13(9),Bb13(9)
F#+,E+,A+,B+,C#+
Bb-11,Ab-11,Db-11,Eb-11,F-11
Bb-11(9),Ab-11(9),Db-11(9),Eb-11(9),F-11(9)
Bb-13(11),Ab-13(11),Db-13(11),Eb-13(11),F-13(11)
Bb-13(11)(9),Ab-13(11)(9),Db-13(11)(9),Eb-13(11)(9),F-13(11)(9)
Bb-7,Ab-7,Db-7,Eb-7,F-7
Bb-9,Ab-9,Db-9,Eb-9,F-9
Db(add2)/F,Cb(add2)/Eb,Fb(add2)/Ab,Gb(add2)/Bb,Ab(add2)/C
Db/F,Cb/Eb,Fb/Ab,Gb/Bb,Ab/C
Db(add2)/Ab,Cb(add2)/Gb,Fb(add2)/Cb,Gb(add2)/Db,Ab(add2)/Eb
Db/Ab,Cb/Gb,Fb/Cb,Gb/Db,Ab/Eb
Db/Eb,Cb/Db,Fb/Gb,Gb/Ab,Ab/Bb
Eb13sus,Db13sus,Gb13sus,Ab13sus,Bb13sus
Eb13sus(9),Db13sus(9),Gb13sus(9),Ab13sus(9),Bb13sus(9)
Eb13sus(9)(add3),Db13sus(9)(add3),Gb13sus(9)(add3),Ab13sus(9)(add3),Bb13sus(9)(add3)
Eb13sus(add3),Db13sus(add3),Gb13sus(add3),Ab13sus(add3),Bb13sus(add3)
Eb7sus,Db7sus,Gb7sus,Ab7sus,Bb7sus
Eb7sus(add3),Db7sus(add3),Gb7sus(add3),Ab7sus(add3),Bb7sus(add3)
Eb9sus,Db9sus,Gb9sus,Ab9sus,Bb9sus
Ebsus4,Dbsus4,Gbsus4,Absus4,Bbsus4
Ebsus4(add2),Dbsus4(add2),Gbsus4(add2),Absus4(add2),Bbsus4(add2)
Eb(add4),Db(add4),Gb(add4),Ab(add4),Bb(add4)
DbMaj7(#11)(#9),CbMaj7(#11)(#9),FbMaj7(#11)(#9),GbMaj7(#11)(#9),AbMaj7(#11)(#9)
Eb13(b9),Db13(b9),Gb13(b9),Ab13(b9),Bb13(b9)
Db-,Cb-,Fb-,Gb-,Ab-
Db-(add2),Cb-(add2),Fb-(add2),Gb-(add2),Ab-(add2)
Db-6,Cb-6,Fb-6,Gb-6,Ab-6
Db-6(9),Cb-6(9),Fb-6(9),Gb-6(9),Ab-6(9)
Db-Maj7,Cb-Maj7,Fb-Maj7,Gb-Maj7,Ab-Maj7
Db-Maj9,Cb-Maj9,Fb-Maj9,Gb-Maj9,Ab-Maj9
Eb13sus(b9)(add3),Db13sus(b9)(add3),Gb13sus(b9)(add3),Ab13sus(b9)(add3),Bb13sus(b9)(add3)
C7(#9)(#5),Bb7(#9)(#5),Eb7(#9)(#5),F7(#9)(#5),G7(#9)(#5)
C7(#9)(b5),Bb7(#9)(b5),Eb7(#9)(b5),F7(#9)(b5),G7(#9)(b5)
C7(b13)(b9),Bb7(b13)(b9),Eb7(b13)(b9),F7(b13)(b9),G7(b13)(b9)
C7(b9)(b5),Bb7(b9)(b5),Eb7(b9)(b5),F7(b9)(b5),G7(b9)(b5)
Db-(add2)/E,Cb-(add2)/D,Fb-(add2)/G,Gb-(add2)/A,Ab-(add2)/B
Db-/E,Cb-/D,Fb-/G,Gb-/A,Ab-/B
Gb13(#11)(9),E13(#11)(9),A13(#11)(9),B13(#11)(9),C#13(#11)(9)
Gb9,E9,A9,B9,C#9
Gb9(#11),E9(#11),A9(#11),B9(#11),C#9(#11)
Db-(add2)/Ab,Cb-(add2)/Gb,Fb-(add2)/Cb,Gb-(add2)/Db,Ab-(add2)/Eb
Db-/Ab,Cb-/Gb,Fb-/Cb,Gb-/Db,Ab-/Eb
Eb-11,Db-11,Gb-11,Ab-11,Bb-11
Eb-11(9),Db-11(9),Gb-11(9),Ab-11(9),Bb-11(9)
Eb-13(11),Db-13(11),Gb-13(11),Ab-13(11),Bb-13(11)
Eb-13(11)(9),Db-13(11)(9),Gb-13(11)(9),Ab-13(11)(9),Bb-13(11)(9)
Eb-7,Db-7,Gb-7,Ab-7,Bb-7
Eb-9,Db-9,Gb-9,Ab-9,Bb-9
Ab13sus,Gb13sus,Cb13sus,Db13sus,Eb13sus
Ab13sus(9),Gb13sus(9),Cb13sus(9),Db13sus(9),Eb13sus(9)
Ab13sus(add3),Gb13sus(add3),Cb13sus(add3),Db13sus(add3),Eb13sus(add3)
Ab7sus,Gb7sus,Cb7sus,Db7sus,Eb7sus
Ab7sus(add3),Gb7sus(add3),Cb7sus(add3),Db7sus(add3),Eb7sus(add3)
Ab9sus,Gb9sus,Cb9sus,Db9sus,Eb9sus
Absus4,Gbsus4,Cbsus4,Dbsus4,Ebsus4
Absus4(add2),Gbsus4(add2),Cbsus4(add2),Dbsus4(add2),Ebsus4(add2)
Ab(add4),Gb(add4),Cb(add4),Db(add4),Eb(add4)
Gb-,E-,A-,B-,C#-
Gb-(add2),E-(add2),A-(add2),B-(add2),C#-(add2)
Gb-6,E-6,A-6,B-6,C#-6
Gb-6(9),E-6(9),A-6(9),B-6(9),C#-6(9)
Gb-Maj7,E-Maj7,A-Maj7,B-Maj7,C#-Maj7
Gb-Maj9,E-Maj9,A-Maj9,B-Maj9,C#-Maj9
Gb-(add2)/A,E-(add2)/G,A-(add2)/C,B-(add2)/D,C#-(add2)/E
Gb-/A,E-/G,A-/C,B-/D,C#-/E
Gb-(add2)/Db,E-(add2)/B,A-(add2)/E,B-(add2)/F#,C#-(add2)/G#
Gb-/Db,E-/B,A-/E,B-/F#,C#-/G#
Ab-11,Gb-11,Cb-11,Db-11,Eb-11
Ab-11(9),Gb-11(9),Cb-11(9),Db-11(9),Eb-11(9)
Ab-13(11),Gb-13(11),Cb-13(11),Db-13(11),Eb-13(11)
Ab-13(11)(9),Gb-13(11)(9),Cb-13(11)(9),Db-13(11)(9),Eb-13(11)(9)
Ab-7,Gb-7,Cb-7,Db-7,Eb-7
Ab-9,Gb-9,Cb-9,Db-9,Eb-9
Db13sus,Cb13sus,Fb13sus,Gb13sus,Ab13sus
Db13sus(9),Cb13sus(9),Fb13sus(9),Gb13sus(9),Ab13sus(9)
Db13sus(add3),Cb13sus(add3),Fb13sus(add3),Gb13sus(add3),Ab13sus(add3)
Db7sus,Cb7sus,Fb7sus,Gb7sus,Ab7sus
Db7sus(add3),Cb7sus(add3),Fb7sus(add3),Gb7sus(add3),Ab7sus(add3)
Db9sus,Cb9sus,Fb9sus,Gb9sus,Ab9sus
Dbsus4,Cbsus4,Fbsus4,Gbsus4,Absus4
Dbsus4(add2),Cbsus4(add2),Fbsus4(add2),Gbsus4(add2),Absus4(add2)
Db(add4),Cb(add4),Fb(add4),Gb(add4),Ab(add4)
Bb7(#9),Ab7(#9),Db7(#9),Eb7(#9),F7(#9)
B-,A-,D-,E-,F#-
B-(add2),A-(add2),D-(add2),E-(add2),F#-(add2)
B-6,A-6,D-6,E-6,F#-6
B-6(9),A-6(9),D-6(9),E-6(9),F#-6(9)
B-Maj7,A-Maj7,D-Maj7,E-Maj7,F#-Maj7
B-Maj9,A-Maj9,D-Maj9,E-Maj9,F#-Maj9
B-(add2)/D,A-(add2)/C,D-(add2)/F,E-(add2)/G,F#-(add2)/A
B-/D,A-/C,D-/F,E-/G,F#-/A
Bb7(#5),Ab7(#5),Db7(#5),Eb7(#5),F7(#5)
Bb7(#9)(#5),Ab7(#9)(#5),Db7(#9)(#5),Eb7(#9)(#5),F7(#9)(#5)
Bb7(#9)(b5),Ab7(#9)(b5),Db7(#9)(b5),Eb7(#9)(b5),F7(#9)(b5)
Bb7(b13)(b9),Ab7(b13)(b9),Db7(b13)(b9),Eb7(b13)(b9),F7(b13)(b9)
Bb7(b9)(b5),Ab7(b9)(b5),Db7(b9)(b5),Eb7(b9)(b5),F7(b9)(b5)
B-(add2)/F#,A-(add2)/E,D-(add2)/A,E-(add2)/B,F#-(add2)/C#
B-/F#,A-/E,D-/A,E-/B,F#-/C#
Bb+,Ab+,Db+,Eb+,F+
B-11,A-11,D-11,E-11,F#-11
B-11(9),A-11(9),D-11(9),E-11(9),F#-11(9)
B-7,A-7,D-7,E-7,F#-7
B-9,A-9,D-9,E-9,F#-9
C#7(#9),B7(#9),E7(#9),F#7(#9),G#7(#9)
C#7(#5),B7(#5),E7(#5),F#7(#5),G#7(#5)
C#7(#9)(#5),B7(#9)(#5),E7(#9)(#5),F#7(#9)(#5),G#7(#9)(#5)
C#7(#9)(b5),B7(#9)(b5),E7(#9)(b5),F#7(#9)(b5),G#7(#9)(b5)
C#7(b13)(b9),B7(b13)(b9),E7(b13)(b9),F#7(b13)(b9),G#7(b13)(b9)
C#+,B+,E+,F#+,G#+
F#-11,E-11,A-11,B-11,C#-11
F#-11(9),E-11(9),A-11(9),B-11(9),C#-11(9)
F#-7,E-7,A-7,B-7,C#-7
F#-9,E-9,A-9,B-9,C#-9
G#7(#9),Gb7(#9),Cb7(#9),Db7(#9),D#7(#9)
G#7(#5),Gb7(#5),Cb7(#5),Db7(#5),D#7(#5)
G#7(#9)(#5),Gb7(#9)(#5),Cb7(#9)(#5),Db7(#9)(#5),D#7(#9)(#5)
G#7(#9)(b5),Gb7(#9)(b5),Cb7(#9)(b5),Db7(#9)(b5),D#7(#9)(b5)
G#7(b13)(b9),Gb7(b13)(b9),Cb7(b13)(b9),Db7(b13)(b9),D#7(b13)(b9)
G#+,Gb+,Cb+,Db+,Eb+
C#-11,B-11,E-11,F#-11,G#-11
C#-11(9),B-11(9),E-11(9),F#-11(9),G#-11(9)
C#-7,B-7,E-7,F#-7,G#-7
C#-9,B-9,E-9,F#-9,G#-9
D#7(#9),C#7(#9),F#7(#9),G#7(#9),A#7(#9)
D#7(#9)(#5),C#7(#9)(#5),F#7(#9)(#5),G#7(#9)(#5),A#7(#9)(#5)
D#7(#9)(b5),C#7(#9)(b5),F#7(#9)(b5),G#7(#9)(b5),A#7(#9)(b5)
